transformed_feature,mdi
num__celebrity_age_during_season,0.38403478719162265
cat__celebrity_homestate_California,0.023994445915618442
cat__celebrity_industry_Actor/Actress,0.023069723737318942
cat__ballroom_partner_Derek Hough,0.022304089795866223
cat__celebrity_homestate_New York,0.0195637191049376
cat__ballroom_partner_Artem Chigvintsev,0.01956058149339117
cat__celebrity_industry_Model,0.017993941099988486
cat__celebrity_homestate_Utah,0.017248676406558847
cat__ballroom_partner_Peta Murgatroyd,0.016673690043041003
cat__celebrity_industry_Athlete,0.014224679131791913
cat__ballroom_partner_Daniella Karagach,0.013675182475720622
cat__ballroom_partner_Maksim Chmerkoskiy,0.013016611784055629
cat__celebrity_industry_Singer/Rapper,0.012681724502259052
cat__ballroom_partner_Cheryl Burke,0.012249645577276421
cat__ballroom_partner_Edyta Sliwinska,0.012185510721494743
cat__ballroom_partner_Sasha Farber,0.011110814168263861
cat__celebrity_homestate_Florida,0.010989015651387565
cat__ballroom_partner_Jenna Johnson,0.009827786192825245
cat__ballroom_partner_Brandon Armstrong,0.009672341352645749
cat__ballroom_partner_Gleb Savchenko,0.009369177934585918
cat__celebrity_homestate_Kansas,0.009111538779696145
cat__celebrity_industry_TV Personality,0.00899353200616683
cat__ballroom_partner_Karina Smirnoff,0.00889678022631022
cat__ballroom_partner_Keo Motsepe,0.008298277126250881
cat__celebrity_homestate_Oregon,0.008221292827360761
cat__ballroom_partner_Witney Carson,0.00817561507948527
cat__celebrity_homecountry/region_United States,0.007879250560273821
cat__celebrity_homestate_Texas,0.007844363821379654
cat__ballroom_partner_Mark Ballas,0.007736023301372532
cat__celebrity_homestate_North Carolina,0.007530940099580549
cat__ballroom_partner_Anna Trebunskaya,0.007513975676302768
cat__ballroom_partner_Elena Grinenko,0.007303716848249238
cat__celebrity_homestate_Tennessee,0.006859272615036567
cat__ballroom_partner_Kym Johnson,0.006656718699031476
cat__ballroom_partner_Jonathan Roberts,0.0065590883912821805
cat__ballroom_partner_Sharna Burgess,0.006288032241291866
cat__celebrity_homecountry/region_Italy,0.006191468990226198
cat__ballroom_partner_Lacey Schwimmer,0.006094633715934121
cat__ballroom_partner_Valentin Chmerkovskiy,0.005650497025452935
cat__ballroom_partner_Tony Dovolani,0.005348955081894914
cat__ballroom_partner_Louis van Amstel,0.005201154760273331
cat__celebrity_homestate_Georgia,0.005182625680353083
cat__ballroom_partner_Alec Mazo,0.005139546285923454
cat__celebrity_homestate_Iowa,0.005008196530429448
cat__ballroom_partner_Chelsie Hightower,0.004847649121456171
cat__ballroom_partner_Lindsay Arnold,0.004689691855458972
cat__celebrity_homecountry/region_Canada,0.004558113041199635
cat__celebrity_homestate_Pennsylvania,0.0045278754370796925
cat__ballroom_partner_Dmitry Chaplin,0.00446601238347595
cat__celebrity_homecountry/region_England,0.004240286809149005
cat__ballroom_partner_Britt Stewart,0.004099496057946693
cat__celebrity_homestate_New Jersey,0.0040949588326718925
cat__ballroom_partner_Alan Bersten,0.003973024601878197
cat__celebrity_homestate_Indiana,0.003931133773778362
cat__celebrity_homestate_Ohio,0.003869101360304919
cat__ballroom_partner_Brian Fortuna,0.0036628588855951386
cat__celebrity_industry_Beauty Pagent,0.0036206649925415776
cat__celebrity_industry_Radio Personality,0.0035620001903656213
cat__ballroom_partner_Emma Slater,0.003526108873685349
cat__celebrity_homestate_Louisiana,0.0034204105650824444
cat__celebrity_homecountry/region_Yugoslavia,0.003252787854292317
cat__celebrity_industry_Comedian,0.0030696754326212466
cat__celebrity_homecountry/region_Croatia,0.0030584743123318985
cat__celebrity_homestate_Wisconsin,0.0029005141776786004
cat__ballroom_partner_Ashly DelGrosso,0.002900480195028656
cat__ballroom_partner_Allison Holker,0.002850369496931525
cat__celebrity_homestate_Mississippi,0.002744677710985245
cat__celebrity_homestate_Kentucky,0.0026891235760151664
cat__ballroom_partner_Nick Kosovich,0.0026798424663249543
cat__ballroom_partner_Pasha Pashkov,0.002632268028949725
cat__celebrity_industry_Social Media Personality,0.0023499039256281704
cat__ballroom_partner_Julianne Hough,0.0023445269335316456
cat__celebrity_homestate_Illinois,0.002328943203538938
cat__celebrity_industry_Entrepreneur,0.0022775402815247672
cat__ballroom_partner_Daniella Karagach (Rumer Willis week 9),0.002190919340555169
cat__celebrity_industry_Racing Driver,0.0021877401547621446
cat__celebrity_homecountry/region_Taiwan China,0.0021080062773792957
cat__celebrity_homestate_Maryland,0.001909997907628643
cat__celebrity_homestate_Alabama,0.0018267982720303075
cat__celebrity_homestate_Virginia,0.0017385584581994264
cat__ballroom_partner_Jan Ravnik,0.0016871338015512596
cat__celebrity_homestate_Hawaii,0.001598232488613759
cat__celebrity_homecountry/region_Russia,0.0015819469406085532
cat__ballroom_partner_Ezra Sosa,0.0015689553940969449
cat__celebrity_homecountry/region_South Africa,0.0015614301755285432
cat__celebrity_homestate_Delaware,0.0015559939243846722
cat__celebrity_homestate_Washington D.C.,0.0015101562734484001
cat__celebrity_homestate_South Carolina,0.001447718550693908
cat__celebrity_industry_Con artist,0.001437469548531792
cat__celebrity_homestate_Missouri,0.0014220412727131114
cat__celebrity_homestate_Minnesota,0.0013113172199509012
cat__celebrity_homestate_Michigan,0.0012821929281059078
cat__ballroom_partner_Anna Demidova,0.0012675758598433774
cat__celebrity_homestate_Massachusetts,0.0012445031473352019
cat__ballroom_partner_Fabian Sanchez,0.0010866655534313447
cat__celebrity_homestate_Connecticut,0.0010579709898356664
cat__celebrity_homestate_New Mexico,0.0010527294413009021
cat__celebrity_homecountry/region_Australia,0.0010260127855473257
cat__ballroom_partner_Inna Brayer,0.0010066990215474843
cat__celebrity_industry_Producer,0.0009730065465694393
cat__celebrity_homecountry/region_South Korea,0.0009441392658160459
cat__celebrity_homecountry/region_Poland,0.0009319345740611422
cat__celebrity_homecountry/region_Venezuela,0.000930066913751836
cat__celebrity_industry_News Anchor,0.0008982512735718439
cat__celebrity_homecountry/region_Brazil,0.0008888283587196113
cat__celebrity_homecountry/region_Wales,0.0008807324555317179
cat__celebrity_homecountry/region_Czechoslovakia,0.0008668137141467774
