transformed_feature,mdi
num__celebrity_age_during_season,0.36717797873282076
cat__celebrity_homestate_California,0.027549492902151616
cat__ballroom_partner_Derek Hough,0.021353785867184602
cat__celebrity_homestate_Utah,0.020723255188698036
cat__ballroom_partner_Edyta Sliwinska,0.020666420155137116
cat__ballroom_partner_Peta Murgatroyd,0.020137090997691686
cat__celebrity_industry_Actor/Actress,0.01935858358895021
cat__celebrity_industry_Model,0.01899065286004681
cat__celebrity_homestate_New York,0.018765851356589706
cat__ballroom_partner_Brandon Armstrong,0.01587996895793865
cat__ballroom_partner_Artem Chigvintsev,0.013889071663692491
cat__celebrity_homestate_Ohio,0.01334854457430619
cat__celebrity_industry_Athlete,0.013218510845467211
cat__ballroom_partner_Daniella Karagach,0.012783522747971843
cat__celebrity_homestate_North Carolina,0.01177312529062456
cat__ballroom_partner_Sharna Burgess,0.011659390731515912
cat__ballroom_partner_Keo Motsepe,0.011498782301173974
cat__celebrity_industry_Singer/Rapper,0.011250415509484203
cat__ballroom_partner_Maksim Chmerkoskiy,0.011184336287222455
cat__celebrity_homestate_Florida,0.010892495921288551
cat__ballroom_partner_Witney Carson,0.010190438515392638
cat__ballroom_partner_Cheryl Burke,0.009994759214454689
cat__ballroom_partner_Karina Smirnoff,0.00972737995298624
cat__celebrity_homestate_Oregon,0.009329619501687144
cat__ballroom_partner_Jenna Johnson,0.009307127163596447
cat__celebrity_industry_TV Personality,0.009132097162814611
cat__celebrity_homecountry/region_United States,0.008900692506350994
cat__celebrity_homestate_Kansas,0.008826361338631296
cat__ballroom_partner_Jonathan Roberts,0.008385122371966274
cat__celebrity_homestate_Texas,0.007666139125589874
cat__ballroom_partner_Gleb Savchenko,0.0075530303846458105
cat__ballroom_partner_Mark Ballas,0.00750078737251115
cat__ballroom_partner_Britt Stewart,0.007465497282533938
cat__ballroom_partner_Kym Johnson,0.007397544576637482
cat__celebrity_homecountry/region_Taiwan China,0.006426951691984742
cat__celebrity_homestate_Tennessee,0.006084365583570442
cat__celebrity_homecountry/region_Italy,0.0058846355647691395
cat__ballroom_partner_Anna Trebunskaya,0.005030526908363012
cat__celebrity_homecountry/region_Canada,0.005028697605397844
cat__ballroom_partner_Lindsay Arnold,0.004962528354925009
cat__ballroom_partner_Valentin Chmerkovskiy,0.004899874967453167
cat__ballroom_partner_Tony Dovolani,0.004594529205650805
cat__celebrity_industry_Comedian,0.0044648697138964565
cat__celebrity_homestate_Iowa,0.004427057871845438
cat__celebrity_homestate_Illinois,0.004349004021663814
cat__celebrity_homestate_Pennsylvania,0.004261327369457903
cat__celebrity_homestate_New Jersey,0.004198498705737137
cat__ballroom_partner_Dmitry Chaplin,0.004164903748415794
cat__ballroom_partner_Alan Bersten,0.00411014600310552
cat__celebrity_industry_Radio Personality,0.004016150946118396
cat__celebrity_homestate_Mississippi,0.004005505676040916
cat__ballroom_partner_Pasha Pashkov,0.003952386733172574
cat__ballroom_partner_Alec Mazo,0.003945147076808382
cat__ballroom_partner_Emma Slater,0.003664953205883387
cat__ballroom_partner_Elena Grinenko,0.0034889309001319355
cat__celebrity_homestate_Kentucky,0.0033997871232440244
cat__ballroom_partner_Louis van Amstel,0.0033864239400073397
cat__ballroom_partner_Lacey Schwimmer,0.0032345278495171303
cat__ballroom_partner_Chelsie Hightower,0.0031706483636554576
cat__celebrity_homestate_Georgia,0.0031602603286281323
cat__ballroom_partner_Sasha Farber,0.003150225024491389
cat__ballroom_partner_Julianne Hough,0.0030998712667396466
cat__celebrity_homecountry/region_South Korea,0.0030604091535903675
cat__ballroom_partner_Brian Fortuna,0.002901802662776325
cat__celebrity_homestate_South Dakota,0.0027592599141376566
cat__celebrity_industry_Beauty Pagent,0.002740849690693543
cat__celebrity_industry_Entrepreneur,0.002722426622410905
cat__celebrity_industry_Racing Driver,0.002648353048853151
cat__ballroom_partner_Allison Holker,0.0025904675423121457
cat__celebrity_homecountry/region_Croatia,0.002558454503145961
cat__ballroom_partner_Jan Ravnik,0.0025299634919221633
cat__celebrity_homecountry/region_England,0.002358272627808107
cat__celebrity_homecountry/region_Yugoslavia,0.0022563931863782936
cat__celebrity_homestate_Arkansas,0.002222001611053177
cat__celebrity_homecountry/region_South Africa,0.002121186098138231
cat__celebrity_industry_Social Media Personality,0.002085947392922576
cat__celebrity_homestate_Virginia,0.002053509935749784
cat__celebrity_homestate_Alabama,0.002007673474611389
cat__celebrity_homestate_New Mexico,0.0019927705897432365
cat__ballroom_partner_Ezra Sosa,0.001983894530763506
cat__celebrity_homestate_Connecticut,0.0019690799944415767
cat__celebrity_industry_Producer,0.0019660014839799245
cat__celebrity_homestate_Washington D.C.,0.001899668176122347
cat__celebrity_homestate_Louisiana,0.0018270643094638046
cat__celebrity_homestate_Delaware,0.0015877449945378885
cat__ballroom_partner_Koko Iwasaki,0.0015409306390058934
cat__celebrity_homecountry/region_Australia,0.0015250770612068268
cat__celebrity_homecountry/region_Russia,0.0015147249222448747
cat__celebrity_homestate_Massachusetts,0.0013856439339121423
cat__celebrity_homestate_Washington,0.0013486575009302954
cat__celebrity_industry_Con artist,0.0013416767826881935
cat__celebrity_homestate_Wisconsin,0.0012564195185971216
cat__celebrity_homestate_Hawaii,0.0012362818967912598
cat__ballroom_partner_Daniella Karagach (Rumer Willis week 9),0.0011890279292064221
cat__celebrity_homestate_Michigan,0.0011746415692423693
cat__celebrity_homestate_South Carolina,0.0011333832822700476
cat__celebrity_homecountry/region_Brazil,0.0010607992362818971
cat__celebrity_homestate_Missouri,0.0010462855739058626
cat__celebrity_industry_News Anchor,0.0010236437892966132
cat__celebrity_homecountry/region_New Zealand,0.0009844873960464778
cat__celebrity_industry_Politician,0.0009173429623539705
cat__celebrity_homecountry/region_Wales,0.0009025248120211111
cat__celebrity_homestate_Maryland,0.0008688453123972296
cat__celebrity_homecountry/region_Czechoslovakia,0.000753421898067131
cat__ballroom_partner_Tristan MacManus,0.000703582764904037
cat__ballroom_partner_Nick Kosovich,0.0006682522254221684
cat__ballroom_partner_Ashly DelGrosso,0.0006658159270105971
cat__celebrity_homecountry/region_Poland,0.0006353036887485011
cat__celebrity_homestate_New Hamshire,0.0006159026611056755
cat__celebrity_homestate_Nevada,0.0006093055601188272
cat__celebrity_homestate_Arizona,0.000606194129801276
cat__ballroom_partner_Anna Demidova,0.0005657156058525336
cat__celebrity_homecountry/region_Venezuela,0.0005144069895057383
cat__ballroom_partner_Corky Ballas,0.0005112705914344617
cat__celebrity_homestate_Minnesota,0.000494864098671837
cat__celebrity_industry_Sports Broadcaster,0.00038544855021216385
cat__ballroom_partner_Fabian Sanchez,0.0003489858570133628
cat__ballroom_partner_Inna Brayer,0.0003444739679513329
cat__celebrity_homecountry/region_Ireland,0.0003406172676035352
cat__celebrity_homecountry/region_Chile,0.0003333892496325582
cat__ballroom_partner_Damian Whitewood,0.00031146421044909084
cat__celebrity_homecountry/region_Philippines,0.0002936905867184702
cat__celebrity_homestate_Nebraska,0.0002880746621967779
cat__ballroom_partner_Henry Byalikov,0.00026874029143745485
cat__celebrity_homestate_West Virginia,0.00024705904930497806
cat__celebrity_industry_Fitness Instructor,0.0002459983340383126
cat__celebrity_homestate_Maine,0.00024232054298743794
cat__ballroom_partner_Val Chmerkovskiy,0.00024027629833677874
cat__celebrity_homestate_Indiana,0.00023409787462798972
cat__ballroom_partner_Kym Herjavec,0.00022246527633423954
cat__celebrity_industry_Journalist,0.00021351863788076933
cat__celebrity_homecountry/region_Mexico,0.0001811104125106399
cat__celebrity_homecountry/region_France,0.00017292161609630706
cat__celebrity_industry_Magician,0.00017084572484021138
cat__ballroom_partner_Rylee Arnold,0.0001488925134357296
cat__celebrity_industry_Motivational Speaker,0.0001458039958390961
cat__celebrity_industry_Military,0.0001441579691263965
cat__celebrity_homecountry/region_Spain,0.00013734082746569217
cat__celebrity_homestate_Alaska,0.0001174301507673106
cat__celebrity_homecountry/region_Argentina,0.00010498390865744706
cat__celebrity_homecountry/region_Cuba,0.00010423704742360337
cat__celebrity_homestate_Colorado,0.00010116205682994791
cat__ballroom_partner_Tyne Stecklein,6.498751521664918e-05
cat__celebrity_industry_Astronaut,6.320278131386537e-05
cat__ballroom_partner_Ezra Sosa (Apolo Anton Ohno week 9),5.5331599217982846e-05
cat__celebrity_industry_Fashion Designer,4.87372295062754e-05
