y_true,y_pred
10,2.594
12,7.96
5,6.666
3,9.722
2,4.908
9,6.986
7,6.954
6,4.946
3,4.634
11,4.512
8,6.534
8,4.606
5,5.082
9,6.732
9,6.904
1,4.892
4,7.016
11,3.26
8,4.206
11,8.222
1,4.366
12,8.016
6,6.308
4,4.654
4,6.074
5,3.232
2,8.344
4,7.738
10,9.604
4,6.338
13,10.722
8,9.57
8,12.964
4,11.586
4,8.424
1,7.03
5,11.048
6,9.618
2,3.642
8,7.496
2,4.366
12,5.598
10,7.106
11,8.57
8,4.77
15,10.522
5,9.122
2,4.482
6,7.242
10,9.32
7,9.22
13,6.658
2,10.514
3,5.954
6,4.404
5,3.022
2,6.034
7,9.11
9,10.838
13,10.58
11,9.544
9,10.32
5,10.31
13,3.884
11,7.19
11,3.894
1,3.106
9,3.344
9,3.474
13,10.01
9,3.956
11,5.45
9,7.656
4,5.392
10,6.284
2,7.346
3,4.514
10,6.376
13,9.814
5,8.894
1,5.822
7,10.886
6,5.928
8,5.942
10,6.142
